page	section	subsection	title	inscription	comments	
1	饪食器铭文	鼎	谷口鼎	谷口，大初四年造。（器）谷口。（盖“《汉金》卷一）	整理者案：《汉金》，即《秦汉金文录》。下同。《金文续编》录本篇，盖铭“谷” 下之阙文乃“五”字之古体。本篇又见《历代著录吉金目》页819上栏，题作“谷口 铜鼎”，器铭“大初”作“太初”，盖铭作“谷共”。大初四年，即太初四年。大初为西 汉武帝年号（太初四年为前10丨年），故此器为西汉物。	
1	饪食器铭文	鼎	杨鼎	杨厨铜一斗鼎，重十一斤二两。地节三年七月造。（《汉金》卷一）	"徐按:“七”《汉金》误释为“十”；《续编》不误。整理者案：徐按所谓“《续 编》”，即《金文续编》。又《秦汉金文汇编》上编亦将“七”误释为“十""。又《历代 著录吉金目》页863上栏录本篇，篇题作“杨厨鼎”，铭文“二两”作“三两”，“七月” 作“十月”。地节为西汉宣帝年号（地节三年为前67年），故此器为西汉物。"	
1	饪食器铭文	鼎	河东鼎	汤官，元康元年，河东所造铜三斗鼎，重廿六斤六两。第廿五。（《汉金》卷一。 拓本在卷七）	整理者案：本篇又见《金文续编》。元康为西汉宣帝年号（元康元年为前65 年），此器为西汉物。	
1	饪食器铭文	鼎	谷口宫鼎	谷口宫，元康二年造。（《考古与文物》丨983, 2）整理者案：西汉宣帝元康二年为前64年，此器为西汉物。		
2	饪食器铭文	鼎	上林宣曲宫鼎	上林宣曲宫，初元三年受东郡。白马宣房观鼎，容五斗，重十九斤六两。神爵 三年，卒史舍人、工光造。第十五。第五百一十一。（器）上林。第九。（盖^《考 古》1963.2:14 号)	整理者案：“初元三年”，《秦汉金文汇编》上编作“初元二年”，不误。又初元 为西汉元帝年号〖初元二年为前47年），此为西汉物。	
2	饪食器铭文	鼎	承安宫鼎（一）	承安宫铜鼎,容一斗，具盖并重十斤二两。甘露元年工让造。（《汉金》卷一）	整理者案：本篇又见《金文续编》。甘露为西汉宣帝年号（甘露元年为前53 年】，此为西汉物。	
2	饪食器铭文	鼎	承安宫鼎（二）	承安宫铜鼎，容一斗，重十四斤。甘露二年，安长丞福、掾禄、守令史宣、工世 造。第五。（《汉金》卷一）	整理者案：本篇亦见《金文续编》。铭文“一斗”，《积古斋钟鼎舁器款识》卷九 作“一升”。铭文“工世”，《积古斋钟鼎弈器款识》《历代著录吉金目》页881下栏 作“夕世”。《积古斋》曰：“案甘露二年，汉宣帝即位之二十二年。承安，宫名，《三 辅黄图》及《长安志》皆无之，汉宫名不传者多矣。《汉书.百官公卿表》云：‘卫 尉，掌宫门卫屯兵，属官有公车、司马、卫士旅贲三令丞。长乐、建章、甘泉皆掌其 宫。’师古云：‘各随所掌之宫以名官。’此云安长丞，以所掌承安宫为官名也。”西 汉宣帝甘露二年为前52年，此为西汉物。	
2	饪食器铭文	鼎	右丞宫鼎	右丞宫铜鼎，容二斗，并盖重廿四斤。甘露二年，安长丞福、掾禄、守令史宣、 工世造。第一。（盖）右丞宫铜鼎，容二斗，并重廿四斤。甘露二年，安长丞福、掾 禄、守令史宣、工世造。第一。（器《汉金》卷一）	整理者案：《历代著录吉金目》页882下栏未录盖铭三十三字。西汉宣帝甘露 二年为前52年。	
2	饪食器铭文	鼎	泰山宫鼎	泰山宫鼎，容一石，具盖，并重六十二斤二两。甘露三年，工王意造。第百一 十六。（《考古》1963.2； 12号)	整理者案：篇题“泰山”，《秦汉金文汇编》上编误作“秦山”。此器《中国书法全集》第九册页44图25亦作“泰山”可证。据《中国书法全集》第九册页187图版 说明25,此器1961年出土于西安三桥镇高窑村。《中国书法全集》曰：“此器盖上 硃书一行三字：‘第廿六’。‘泰山宫’一名，《汉书》无栽。陈直先生断为武帝封泰 山时所见之宫。黄展岳先生则认为是山郡博县泰山庙之别名。器盖题记，显係 调入上林苑后所刻。”又西汉宣帝甘露三年为前51年，此为西汉物。	
3	饪食器铭文	鼎	博邑家鼎	博邑家铜鼎,容一斗，重十一斤。永光五年二月，河东平阳造。（《汉金》卷一）	整理者案：本篇亦见《金文续编》。永光为西汉元帝年号（永光五年为前39 年），此为西汉物。	
